time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180820:1810,0.0,0.0,0.0,0.0,0.0,29.66,0.62,0.0
20180820:1910,0.0,0.0,0.0,0.0,0.0,27.64,2.48,0.0
20180820:2010,0.0,0.0,0.0,0.0,0.0,26.62,2.14,0.0
20180820:2110,0.0,0.0,0.0,0.0,0.0,25.5,1.86,0.0
20180820:2210,0.0,0.0,0.0,0.0,0.0,24.75,1.72,0.0
20180820:2310,0.0,0.0,0.0,0.0,0.0,24.04,1.66,0.0
20180821:0010,0.0,0.0,0.0,0.0,0.0,23.32,1.66,0.0
20180821:0110,0.0,0.0,0.0,0.0,0.0,22.61,1.72,0.0
20180821:0210,0.0,0.0,0.0,0.0,0.0,22.03,1.72,0.0
20180821:0310,0.0,0.0,0.0,0.0,0.0,21.51,1.72,0.0
20180821:0410,0.0,0.0,0.0,0.0,0.0,21.01,1.79,0.0
20180821:0510,2036.4,0.0,33.6,0.81,6.43,20.69,1.72,0.0
20180821:0610,14959.2,108.67,80.21,4.82,17.2,22.48,1.38,0.0
20180821:0710,37585.2,280.23,128.09,8.45,27.99,26.5,1.52,0.0
20180821:0810,59037.6,494.06,145.12,12.11,38.38,28.93,1.86,0.0
20180821:0910,74320.8,652.85,166.46,14.86,47.73,30.36,2.28,0.0
20180821:1010,83785.2,769.0,177.56,16.77,54.95,31.5,2.14,0.0
20180821:1110,87838.8,842.33,171.8,17.76,58.38,32.06,1.66,0.0
20180821:1210,84272.4,789.72,185.32,17.11,56.75,32.51,1.38,0.0
20180821:1310,76812.0,678.24,191.34,15.46,50.71,32.54,1.72,0.0
20180821:1410,64204.8,499.5,193.83,12.72,41.98,31.21,3.66,0.0
20180821:1510,44083.2,300.76,176.09,9.29,31.88,30.22,2.62,0.0
20180821:1610,24141.6,173.31,107.47,6.12,21.18,30.21,2.41,0.0
20180821:1710,4894.8,26.12,54.8,2.5,10.36,29.34,2.9,0.0
20180821:1810,0.0,0.0,0.0,0.0,0.0,28.19,2.21,0.0
20180821:1910,0.0,0.0,0.0,0.0,0.0,27.89,2.21,0.0
20180821:2010,0.0,0.0,0.0,0.0,0.0,26.57,1.86,0.0
20180821:2110,0.0,0.0,0.0,0.0,0.0,25.07,1.66,0.0
20180821:2210,0.0,0.0,0.0,0.0,0.0,24.12,1.52,0.0
20180821:2310,0.0,0.0,0.0,0.0,0.0,23.2,1.52,0.0
20180822:0010,0.0,0.0,0.0,0.0,0.0,22.56,1.52,0.0
20180822:0110,0.0,0.0,0.0,0.0,0.0,22.03,1.59,0.0
20180822:0210,0.0,0.0,0.0,0.0,0.0,21.51,1.59,0.0
20180822:0310,0.0,0.0,0.0,0.0,0.0,21.08,1.59,0.0
20180822:0410,0.0,0.0,0.0,0.0,0.0,20.72,1.66,0.0
20180822:0510,1964.4,0.0,32.76,0.79,6.24,20.56,1.66,0.0
20180822:0610,14762.4,101.12,84.24,4.65,17.02,22.51,1.31,0.0
